X,Y,Diameter (m),Area,Perimeter,Circularity,AspectRatio,ShapeType
842,212,19.42,109.0,46.97,0.62,0.4,Elongated
1242,206,9.43,37.0,24.49,0.78,0.78,Irregular
1573,211,22.47,152.5,56.04,0.61,0.59,Elongated
1465,208,16.16,60.5,37.9,0.53,0.35,Elongated
1683,210,32.39,234.5,79.36,0.47,0.45,Elongated
1039,197,6.08,17.5,15.9,0.87,0.71,Irregular
1003,200,17.72,74.0,44.14,0.48,0.44,Elongated
1622,268,157.11,3652.5,510.52,0.18,0.41,Elongated
1639,273,34.12,471.0,90.77,0.72,0.57,Elongated
954,196,13.42,60.0,33.31,0.68,0.62,Elongated
1597,194,12.08,55.0,30.97,0.72,0.75,Irregular
945,194,11.66,56.5,31.56,0.71,0.82,Irregular
706,194,10.77,42.5,27.07,0.73,0.55,Elongated
1497,203,45.34,334.5,114.33,0.32,0.94,Irregular
811,282,201.56,9271.0,1293.51,0.07,0.74,Irregular
861,349,14.42,76.0,35.8,0.75,1.18,Irregular
851,326,6.32,18.0,16.49,0.83,0.71,Irregular
842,323,8.54,40.5,23.9,0.89,0.78,Irregular
812,323,17.33,132.0,46.63,0.76,0.67,Elongated
815,302,12.08,66.0,31.8,0.82,0.83,Irregular
773,255,8.94,31.0,23.31,0.72,0.78,Irregular
766,249,5.39,14.0,14.49,0.84,1.2,Irregular
815,234,15.17,80.0,40.97,0.6,0.62,Elongated
803,234,15.52,98.0,40.97,0.73,0.62,Elongated
1667,188,21.97,100.0,54.63,0.42,0.62,Elongated
841,185,17.49,90.5,54.87,0.38,1.21,Irregular
1365,196,54.64,699.0,201.48,0.22,1.21,Irregular
1016,177,10.82,44.0,27.31,0.74,1.25,Irregular
818,178,22.47,134.0,57.46,0.51,1.25,Irregular
797,174,8.06,30.5,21.9,0.8,0.88,Irregular
1051,188,38.64,320.0,119.4,0.28,0.56,Elongated
428,170,10.44,34.5,24.73,0.71,1.83,Elongated
1677,168,7.28,10.5,16.24,0.5,0.38,Elongated
1035,165,5.05,11.0,13.66,0.74,1.0,Irregular
1641,171,22.37,269.5,66.53,0.77,0.91,Irregular
990,168,21.97,159.0,63.25,0.5,0.95,Irregular
1065,173,37.78,453.5,106.67,0.5,0.77,Irregular
1457,171,34.99,297.5,82.18,0.55,0.65,Elongated
1167,159,11.35,78.5,33.56,0.88,1.0,Round
1434,160,19.76,202.0,57.46,0.77,1.19,Irregular
839,153,5.53,14.5,15.07,0.8,0.83,Irregular
1218,154,10.0,36.5,25.56,0.7,1.0,Irregular
1585,164,45.65,612.0,142.71,0.38,0.78,Irregular
1491,153,22.47,155.0,55.94,0.62,0.85,Irregular
776,151,14.87,63.5,36.38,0.6,0.6,Elongated
1508,149,12.17,50.5,29.9,0.71,0.46,Elongated
1057,144,8.23,35.5,23.9,0.78,1.0,Irregular
1405,153,27.66,193.0,66.28,0.55,0.46,Elongated
796,141,5.39,15.0,15.66,0.77,0.83,Irregular
1341,155,39.56,357.0,94.43,0.5,0.53,Elongated
1087,728,1316.55,546952.5,18262.38,0.02,1.27,Irregular
741,1138,16.12,78.0,38.97,0.65,0.47,Elongated
1184,1107,13.04,97.0,36.97,0.89,1.0,Round
1498,1091,9.85,44.5,25.9,0.83,0.7,Irregular
1454,1087,8.58,36.5,24.38,0.77,1.0,Irregular
777,1078,18.03,95.0,48.63,0.5,0.72,Irregular
1489,1077,16.77,114.0,44.63,0.72,0.71,Irregular
1420,1071,7.35,29.5,20.73,0.86,0.88,Irregular
1371,1073,16.42,96.5,40.87,0.73,1.0,Irregular
1484,1060,4.33,11.0,12.49,0.89,1.0,Round
1465,1056,6.32,21.0,17.31,0.88,0.86,Irregular
806,1057,18.11,136.0,47.46,0.76,0.63,Elongated
1097,1045,13.42,82.0,35.8,0.8,1.18,Irregular
1399,1051,32.28,407.5,85.84,0.69,0.66,Elongated
732,1069,90.14,1544.0,219.91,0.4,1.03,Irregular
917,1036,13.42,89.5,36.38,0.85,0.85,Irregular
1223,1029,6.32,23.5,17.9,0.92,1.17,Irregular
1055,1039,33.24,340.0,86.08,0.58,0.55,Elongated
694,1030,15.3,80.5,39.21,0.66,0.62,Elongated
1284,1048,78.21,2915.0,220.94,0.75,1.19,Irregular
1227,1064,104.25,2285.0,338.19,0.25,0.9,Irregular
624,1022,12.37,90.5,36.04,0.88,1.08,Round
799,1023,18.6,157.5,50.87,0.76,0.88,Irregular
687,1016,5.59,17.5,15.9,0.87,1.0,Round
914,1018,15.23,90.5,40.38,0.7,0.73,Irregular
664,1011,5.39,15.0,14.49,0.9,0.83,Irregular
1334,1009,16.28,104.0,43.8,0.68,1.7,Elongated
697,1010,8.54,35.5,22.73,0.86,1.29,Irregular
1347,1008,7.62,21.5,18.73,0.77,0.75,Irregular
1266,1005,11.43,78.0,32.97,0.9,0.83,Irregular
1058,1003,13.04,83.5,35.21,0.85,1.0,Irregular
1177,994,5.59,20.0,16.49,0.92,1.0,Round
851,994,9.85,55.5,27.56,0.92,0.9,Irregular
1156,991,6.32,23.5,17.9,0.92,1.17,Irregular
1234,994,20.1,173.5,53.7,0.76,0.67,Elongated
697,983,12.65,84.0,34.97,0.86,0.77,Irregular
680,980,7.28,26.0,19.31,0.88,0.75,Irregular
593,980,11.73,86.0,34.63,0.9,1.0,Round
1131,986,38.6,376.5,98.81,0.48,1.13,Irregular
922,971,10.47,70.0,31.8,0.87,1.0,Round
572,968,5.1,10.0,12.49,0.81,0.67,Elongated
901,967,12.08,87.0,34.97,0.89,1.09,Round
1584,961,4.47,11.0,12.49,0.89,1.0,Round
1611,964,13.6,97.5,37.21,0.88,0.79,Irregular
993,963,12.08,74.5,33.21,0.85,0.92,Irregular
1011,957,7.07,24.5,18.73,0.88,0.75,Irregular
970,957,8.94,39.0,24.14,0.84,0.89,Irregular
1473,961,30.81,330.0,76.43,0.71,1.72,Elongated
666,977,59.5,907.5,190.75,0.31,0.85,Irregular
1108,970,48.92,760.0,146.85,0.44,0.67,Elongated
945,948,5.83,17.5,15.9,0.87,1.0,Round
1624,946,8.06,32.0,21.31,0.89,0.67,Elongated
600,969,73.76,1241.0,217.48,0.33,1.02,Irregular
613,979,7.07,24.0,19.31,0.81,1.33,Irregular
551,944,23.2,248.0,63.46,0.77,1.44,Irregular
1197,938,16.77,135.0,46.63,0.78,0.76,Irregular
638,940,33.84,323.5,86.33,0.55,0.93,Irregular
527,934,22.0,232.5,65.36,0.68,0.91,Irregular
1285,948,61.91,1078.0,191.34,0.37,0.82,Irregular
1182,965,87.6,1400.0,263.62,0.25,0.6,Elongated
877,929,20.22,209.0,57.11,0.81,0.76,Irregular
818,946,76.8,1640.0,264.45,0.29,1.08,Irregular
827,958,8.6,28.5,21.9,0.75,0.88,Irregular
753,920,7.07,24.5,18.73,0.88,0.75,Irregular
1028,935,42.2,610.0,109.05,0.64,0.67,Elongated
1243,930,39.9,783.0,118.57,0.7,0.95,Irregular
1477,921,19.32,154.0,50.28,0.77,0.74,Irregular
922,913,18.03,114.5,44.87,0.71,1.14,Irregular
1280,910,17.95,112.0,47.11,0.63,0.88,Irregular
820,917,48.01,644.5,128.61,0.49,0.93,Irregular
1615,901,8.13,32.0,22.14,0.82,0.78,Irregular
906,900,6.08,13.0,15.31,0.7,0.71,Irregular
1157,899,7.28,29.5,20.73,0.86,0.88,Irregular
968,906,47.17,532.5,140.81,0.34,1.29,Irregular
747,965,180.9,7554.0,915.12,0.11,1.02,Irregular
735,984,11.82,79.0,34.97,0.81,0.92,Irregular
1623,893,16.12,106.5,42.04,0.76,1.15,Irregular
799,881,18.03,169.5,50.04,0.85,0.88,Irregular
1207,895,51.89,809.0,152.02,0.44,0.86,Irregular
1255,891,42.31,806.5,122.81,0.67,0.78,Irregular
912,887,97.41,919.0,251.14,0.18,2.45,Elongated
842,875,32.76,419.5,87.5,0.69,1.24,Irregular
1164,873,58.6,923.5,168.95,0.41,0.83,Irregular
869,847,24.7,167.5,59.36,0.6,0.62,Elongated
967,838,8.54,22.5,20.73,0.66,0.67,Elongated
632,886,118.97,1930.5,277.81,0.31,0.54,Elongated
563,871,105.55,1894.5,264.49,0.34,0.57,Elongated
906,850,57.25,789.5,136.61,0.53,0.56,Elongated
854,824,14.78,94.5,40.87,0.71,1.0,Irregular
1252,826,20.25,115.5,49.36,0.6,0.89,Irregular
492,816,5.1,13.5,13.9,0.88,0.83,Irregular
789,843,72.4,1345.0,206.31,0.4,0.81,Irregular
1079,873,129.51,3852.5,508.32,0.19,0.58,Elongated
795,815,17.46,122.5,44.38,0.78,0.56,Elongated
